蒜米,蔬菜,2.5,3.5,3.0,鲁,机剥\手工,斤,2022-04-18 00:00:00
大葱,蔬菜,1.8,2.4,2.1,闽沪,,斤,2022-04-18 00:00:00
小葱,蔬菜,1.5,2.5,2.0,豫,,斤,2022-04-18 00:00:00
蒜苗,蔬菜,2.4,4.0,3.2,苏豫,,斤,2022-04-18 00:00:00
蒜黄,蔬菜,3.0,3.8,3.4,冀,,斤,2022-04-18 00:00:00
青蒜,蔬菜,1.5,1.8,1.65,鲁苏,,斤,2022-04-18 00:00:00
平菇,蔬菜,3.0,5.0,4.0,京,小叶,斤,2022-04-18 00:00:00
香菇,蔬菜,3.5,5.5,4.5,冀,,斤,2022-04-18 00:00:00
白玉菇,蔬菜,3.0,4.0,3.5,京,,斤,2022-04-18 00:00:00
口蘑,蔬菜,6.5,7.0,6.75,豫,,斤,2022-04-18 00:00:00
杏鲍菇,蔬菜,3.0,3.5,3.25,苏,,斤,2022-04-18 00:00:00
金针菇,蔬菜,3.0,3.5,3.25,辽,,斤,2022-04-18 00:00:00
油菜,蔬菜,1.5,2.0,1.75,,,斤,2022-04-18 00:00:00
小白菜,蔬菜,2.0,2.5,2.25,,,斤,2022-04-18 00:00:00
油麦菜,蔬菜,1.5,2.0,1.75,,,斤,2022-04-18 00:00:00
奶白菜,蔬菜,2.0,2.5,2.25,,,斤,2022-04-18 00:00:00
散生菜,蔬菜,1.5,2.0,1.75,,,斤,2022-04-18 00:00:00
香葱,蔬菜,2.0,3.0,2.5,,,斤,2022-04-18 00:00:00
茼蒿,蔬菜,3.0,4.0,3.5,,,斤,2022-04-18 00:00:00
蒿子秆,蔬菜,2.0,2.5,2.25,,,斤,2022-04-18 00:00:00
水萝卜,蔬菜,3.0,3.5,3.25,,,斤,2022-04-18 00:00:00
樱桃萝卜,蔬菜,1.5,2.5,2.0,,,斤,2022-04-18 00:00:00
香芹,蔬菜,2.5,3.5,3.0,,,斤,2022-04-18 00:00:00
菠菜,蔬菜,3.0,4.0,3.5,,,斤,2022-04-18 00:00:00
苋菜,蔬菜,2.0,3.0,2.5,,,斤,2022-04-18 00:00:00
菊花菜,蔬菜,1.5,2.0,1.75,,,斤,2022-04-18 00:00:00
黄心菜,蔬菜,5.0,6.0,5.5,,,斤,2022-04-18 00:00:00
青蒜,蔬菜,2.0,2.5,2.25,,,斤,2022-04-18 00:00:00
盖菜,蔬菜,1.5,2.0,1.75,,,斤,2022-04-18 00:00:00
芥兰,蔬菜,2.5,3.0,2.75,,,斤,2022-04-18 00:00:00
菜心,蔬菜,1.5,2.0,1.75,,,斤,2022-04-18 00:00:00
空心菜,蔬菜,2.5,3.0,2.75,,,斤,2022-04-18 00:00:00
鸡毛菜,蔬菜,1.5,2.0,1.75,,,斤,2022-04-18 00:00:00
荠菜,蔬菜,5.0,5.5,5.25,,,斤,2022-04-18 00:00:00
荆芥,蔬菜,5.0,6.5,5.75,,,斤,2022-04-18 00:00:00
紫苏叶,蔬菜,7.0,7.5,7.25,,,斤,2022-04-18 00:00:00
