300,仓储物流软件出入库数据库IT开发定制saas企业管理系统平台,创威科技—国家高新技术企业,上海
1000,仓储物流软件出入库数据库IT开发定制saas企业管理系统平台,完梦科技-国家高新双软企业软件开发商,上海
2500,开发工具企业管理行业应用嵌入式区块链应用saas成品设计网站,荣鹊科技,上海
5000,APP开发python软件开发saas数据处理脚本开发app,时尺信科-高企双软ISO9001认证企业,上海
600,系统界面软件ui后台管理网页设计saas设计erp设计网站,艺站库设计,上海
1200,微信小程序商城带分销系统成品saas软件包安装支持二次开发,掌沃科技有限公司,上海
2000,微信开发公众号平台前端H5分销商城官网软件定制开发,新网科技-全国十佳开发商,上海
2688,微信抖音小程序租房找房合租公众号定制开发saas系统成品二开,尧璧信科十年专注品质服务,上海
68888,政府|集团*系统|*时时监控|saas*系统开发,捷径科技-国家高新技术企业,上海
1000,原生app开发数据库设计saas平台开发管理系统c语言开发,来客网络科技,上海
2000,软件开发|pass后端开发|lassIT开发,九宸软件定制,上海
15000,erp管理软件ERP生产系统开发CRM数据saas软件定制,上海闻峥-国家高新企业-八戒优质服务商5强,上海
1899,北京CRM|OA|saas会员管理系统|进库存系统|定制餐饮,云淞网络,上海
12000,工具软件企业管理成品软件行业应用软件区域链应用saas切入式,悦商东方-国家高新企业,上海
5000,企业办公OA系统/ERP系统/软件/saas/erp企业管理,讯资软件-50人技术团队8年经验南部大区行业之星,上海
1599,网站定制开发|电子商务平台开发|语音群呼软件|saas软件,广州秒知科技,上海
1200,支付宝微信公众号小程序商城H5python开发定制作,简策科技,上海
4500,平台丨saas管理系统开发丨商城小程序定制开发设计,七页科技,上海
1600,【软件开发】企业订单客户后台管理系统|saas平台软件定制,由你创-年度十佳服务之星（双软认证）,上海
1999,电视显示屏界面建材酒店行业电视白版业erp管理saas界面,赵小马网络科技,上海
10000,微官网saas服务平台微信小程序小程序开发企业管理软件开发,至信网络科技,上海
1999,python数据分析处理java服务工具saas系统软件开发,禾高网络科技旗舰,上海
5000,企业管理系统办公软件仓库管理ERP系统saas系统开发,名锐讯动-500强合作商,上海
8000,仓储物流软件出入库数据库IT开发定制saas企业管理系统平台,聚成网络-国家高新企业双软认证,上海
1000,小程序开发互联网学校公众号定制设计开saas微网站微信,慧族网络科技-高科技企业,上海
10000,物业贝贝app互联网物业app智慧社区saas平台物业服务,真琦科技-专业软件定制开发,上海
10000,CRM|OA|saas会员管理系统|进销存系统|订单管理系统,百荣科技-国家高新企业,上海
10000,物业贝贝app互联网物业app智慧社区saas平台物业服务,专业软件定制开发拉利法科技,上海
